Date,title,category,amount,type,id
2014-01-01 09:00:00,Kiriman Orang Tua,,2500000.0,INCOME,b6a567c9-30e9-44a7-b5eb-59cd44590256
2014-01-01 17:00:00,Bensin,Transport,20000.0,EXPENSE,35eff235-d2da-4799-9c22-9ec2bef7555f
2014-01-01 12:30:00,Pecel Lele,,13950.0,EXPENSE,22de6c60-5eeb-49c0-a91f-aa00fed9b8be
2014-01-01 19:00:00,Ayam Geprek,Food & Drinks,17050.0,EXPENSE,bc1b63b4-7952-4378-9c5e-72ee409d9254
2014-01-02 12:30:00,Ayam Geprek,Food & Drinks,14400.0,EXPENSE,d3f36f7f-00f1-4e3d-b2ef-c680c1f83696
2014-01-02 19:00:00,Ayam Geprek,Food & Drinks,17600.0,EXPENSE,b1a3bc1f-3c68-4b19-93a7-24f68970c3d0
2014-01-03 12:30:00,Nasi Campur,Food & Drinks,12150.0,EXPENSE,27935367-918b-472f-8393-2531b6173faf
2014-01-03 19:00:00,Mie Ayam,Food & Drinks,14850.0,EXPENSE,a9934714-1666-47b1-a6d3-0ba3efdf9070
2014-01-04 17:00:00,Bensin,Transport,20000.0,EXPENSE,5ee8a331-165e-4809-ae2b-3962959c2dc6
2014-01-04 12:30:00,Pecel Lele,Food & Drinks,13050.0,EXPENSE,3c2df93c-64c7-49cc-8e78-2589e6af91db
2014-01-04 19:00:00,Mie Ayam,Food & Drinks,15950.0,EXPENSE,1f1e5296-71de-4227-945a-56a3d85f1301
2014-01-05 11:00:00,Pulsa,Bills & Fees,50000.0,EXPENSE,8a8ead19-f28c-446a-b26b-843cecd9d224
2014-01-05 09:00:00,Laundry,Needs,20000.0,EXPENSE,a9fce93f-39bc-4255-8a86-7a1aaea8ecc0
2014-01-05 12:30:00,Pecel Lele,Food & Drinks,11700.0,EXPENSE,bd51c24b-6f63-4781-afe0-65346046c0ed
2014-01-05 19:00:00,Soto,Food & Drinks,14300.0,EXPENSE,b40cfb2a-cf6e-416b-b150-98b25ef8a3ba
